model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
svm,0.1543317015984665,0.0038028877987965736,0.12029411968799575,0.01657187277532002,0.14830819874224688,0.004413614779183484
rf,0.14677597706065934,0.009335412251182562,0.06547231461218596,0.004470720980724249,0.13450806250823363,0.009379489213480662
logreg,0.27442231833087777,0.013332322256165952,0.06319046823781406,0.012284083551184832,0.2127512406539845,0.012884684894952687
gb,0.15103242875021783,0.05403227005289329,0.040417531513999835,0.022191498289277092,0.10655938720397133,0.03005548560357145
